"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"d[5,11]",185.257673336925,6.76137087720792,171.071484320174,185.564867895233,197.988781788849,1,4362
"p[1,1]",2.74422390885311,0.255233902880197,2.28824193972482,2.7244287974478,3.27752533896339,1,2999
"p[1,2]",2.16773818285381,0.195111483722353,1.81097793825528,2.15437209377606,2.56404558887553,1,4225
"p[1,3]",2.54175271439325,0.299403436868943,2.00889752212942,2.52620830892855,3.14382133444456,1,1052
"p[1,4]",1.8406884893436,0.149843180985588,1.55688430678591,1.84025726808872,2.14837446397802,1,4438
"p[1,5]",2.34763746690786,0.281461659306268,1.83311251913075,2.33118650422059,2.94071302155483,1,4025
"p[1,6]",2.01517004102625,0.236411702817576,1.58791468197069,1.99216414494198,2.51325598206775,1,4195
"p[1,7]",1.65693144371509,0.139091854508441,1.39741424805853,1.6527606514754,1.94505844507973,1,3871
"p[1,8]",1.77762479374605,0.148520609413295,1.49351687036319,1.77570622721459,2.08075800910632,1,3965
"p[1,9]",1.74487810248329,0.221933090630238,1.34345542591756,1.73871838830468,2.21428163373595,1,4235
"p[1,10]",2.06697863740476,0.149933296931737,1.77419055475433,2.06685102114147,2.37051718784007,1,5685
"p[1,11]",1.41881866539781,0.125933211415951,1.1964295270834,1.4115488532219,1.68268153113727,1,1741
"p[2,1]",1.8943294015976,0.230962008177327,1.47069430587683,1.88504845669746,2.40109781440424,1,1807
"p[2,2]",2.28344580249915,0.231515131444877,1.85900402344814,2.26440554279121,2.78542320030638,1,2097
"p[2,3]",1.84584390725572,0.180105142321625,1.47968606820596,1.84150116955891,2.21477548138875,1.01,445
"p[2,4]",2.045308845608,0.177633270921235,1.71364848085264,2.04089011114432,2.40810532322576,1,4203
"p[2,5]",2.37909624811895,0.287678941838471,1.8606489510313,2.36419627109777,2.97838000717584,1,2955
